analysis_type,parameter_name,parameter_value,initialization_index,initialization_seed,algorithm,epsilon,output_weight_count,hidden_width,q_dimension,n_train,n_test,n_features,n_classes,lambda_reg,estimated_L,mu,condition_number,converged,iterations,computational_time_seconds,initial_gradient_norm,final_gradient_norm,objective_value,objective_gap_to_ldlt,relative_error_to_ldlt,train_accuracy,test_accuracy,alpha,beta
sparsity,sparseness_percentage,0.1,14,103021,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.6736157079976692,2.122113537389296,0.0005942341132930899,0.05892512220226202,9.410307263285622e-08,0.0005128944502291778,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,14,103021,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.5708168749988545,2.122113537389296,0.0009996182750222303,0.05892968995490909,4.661855719699515e-06,0.006966976244521924,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,15,103022,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.5508911659999285,2.0594803521618457,0.0005901824252359131,0.05892512235357439,9.425438499827132e-08,0.0005121285846266842,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,15,103022,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,771,0.7101407920017664,2.0594803521618457,0.0009921059750043133,0.05892961848382304,4.59038463365008e-06,0.006909975531793476,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,16,103023,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.6538388749977457,2.148635865395963,0.0005982697159357226,0.05892512246122066,9.436203127211051e-08,0.0005128615718470932,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,16,103023,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,771,0.5783959170003072,2.148635865395963,0.0009923057659037742,0.058929627008789884,4.598909600493639e-06,0.006912318971581643,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,17,103024,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.44560024999736925,2.066464546120375,0.0005886314339962826,0.058925121873375244,9.377418585393427e-08,0.0005119638555564701,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,17,103024,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.6514288329999545,2.066464546120375,0.00099919966113428,0.05892968075184066,4.652652651267186e-06,0.006954306378800487,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,18,103025,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.536677874999441,2.185064936193484,0.000602450663770869,0.058925122255504,9.415631461312524e-08,0.0005124477801043052,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,18,103025,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.623263000001316,2.185064936193484,0.000999773983273843,0.058929686322614555,4.65822342516492e-06,0.0069614069569758465,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,19,103026,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,567,0.38229766699805623,2.0112307580271196,0.0009952780716477212,0.05892530307028628,2.7497109689189614e-07,0.0008940940409706369,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,19,103026,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.6084359580017917,2.0112307580271196,0.0009991785134234312,0.05892969039982225,4.6623006328613825e-06,0.00697057080229851,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,20,103027,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,567,0.46488741699795355,1.9661587072725502,0.000982846022987847,0.05892530195239436,2.738532049670339e-07,0.0008937383064279771,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,20,103027,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,771,0.7805008329996781,1.9661587072725502,0.0009921045593550548,0.05892962253267313,4.594433483738614e-06,0.006915392819622862,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,21,103028,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.3782212910009548,2.1676420118058704,0.0005994573263354155,0.058925122260023756,9.416083436575295e-08,0.0005125380517482123,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,21,103028,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.4786897919984767,2.1676420118058704,0.0009999563094115782,0.05892968808191203,4.659982722636513e-06,0.006957002337649171,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,22,103029,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,567,0.42317754199757474,2.0142621557417915,0.0009974645359691536,0.05892530348412745,2.753849380615625e-07,0.000892570343260092,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,22,103029,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.43557458400027826,2.0142621557417915,0.0009973184934887363,0.05892967504841129,4.64694922189951e-06,0.0069547243431982,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,23,103030,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,567,0.35024745800183155,1.9791392151764766,0.000986254277492591,0.05892530211168133,2.740124919395348e-07,0.0008935627142650001,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,23,103030,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.7034482499984733,1.9791392151764766,0.0009999598633922023,0.05892969081819559,4.662719006197358e-06,0.006964325920991007,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,24,103031,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.41280537499915226,2.2430457165086426,0.0006073129679148167,0.058925122224988385,9.412579899531481e-08,0.0005128255495566149,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,24,103031,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.6249686250012019,2.2430457165086426,0.0009993478448985715,0.058929688972936836,4.660873747446004e-06,0.006962833781203013,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,25,103032,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.6278050000000803,2.176653299088032,0.0006010277944176196,0.058925122201614326,9.410242493568255e-08,0.0005127576635794143,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,25,103032,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.6506923750021087,2.176653299088032,0.0009996818691704215,0.05892968449171919,4.656392529799047e-06,0.006963969529702469,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,26,103033,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.4095460419994197,2.1335897516451463,0.0005960197122011518,0.05892512192443129,9.382524190221231e-08,0.0005121739617618864,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,26,103033,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.5828240420014481,2.1335897516451463,0.0009992656041552287,0.058929681616575066,4.653517385676265e-06,0.006957299773960712,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,27,103034,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,567,0.3538177499976882,1.9891656392270747,0.0009880953180581248,0.058925302411311484,2.7431212209355627e-07,0.0008934088261565545,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,27,103034,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.46596758300074725,1.9891656392270747,0.0009994140952645787,0.05892968508072808,4.65698153868932e-06,0.006957746408272119,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,28,103035,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.4909536669983936,2.1563702961813425,0.0005983346890217105,0.05892512179251056,9.369332117092899e-08,0.0005124169552947259,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,28,103035,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.7773734160000458,2.1563702961813425,0.0009985331896041744,0.0589296831160378,4.655016848410798e-06,0.006964858662735088,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,29,103036,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.4473588330001803,2.1021806593694956,0.0005926048244934218,0.05892512205763564,9.395844625254002e-08,0.0005127198595036986,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,29,103036,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,771,0.5951835420019052,2.1021806593694956,0.000992207730330107,0.058929626682984876,4.598583795485667e-06,0.0069183531722931575,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,30,103037,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.41831399999864516,2.1482622579803365,0.0005993515890749698,0.058925122279786205,9.418059681437496e-08,0.0005124631384516476,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,30,103037,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.48352345900275395,2.1482622579803365,0.000998095249381729,0.05892967963202626,4.651532836873196e-06,0.006957251457663687,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,31,103038,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.4852318329976697,2.165540604230308,0.0005985645960807804,0.05892512195863581,9.385944641643329e-08,0.0005125265601876076,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,31,103038,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,1.129630499999621,2.165540604230308,0.0009988758469964133,0.058929688514420465,4.660415231075299e-06,0.006967093032240356,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,32,103039,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.4503037909998966,2.193463213344518,0.0006025875674022238,0.05892512214611931,9.404692991737962e-08,0.0005122170416646737,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,32,103039,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.9211580000010144,2.193463213344518,0.0009982771195678594,0.05892967736984689,4.649270657498816e-06,0.0069519678017855345,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,33,103040,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.6150113340008829,2.133291857703148,0.0005973406417833301,0.058925122503944535,9.4404755145161e-08,0.0005126294582917183,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,33,103040,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,771,0.5902879169989319,2.133291857703148,0.00099235057979319,0.05892962119825675,4.593099067362605e-06,0.006915116308697489,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,34,103041,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.48965312500149594,2.308946365815482,0.0006119479275866615,0.05892512178020022,9.368101083068181e-08,0.0005123301565545793,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,34,103041,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.5554458329970657,2.308946365815482,0.0009996054034218174,0.05892968092869818,4.652829508788869e-06,0.006953653155087582,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,35,103042,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.5287323330012441,2.0686928774777456,0.0005901101454196794,0.0589251221519301,9.405274070672931e-08,0.0005128246620632051,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,35,103042,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,771,0.5624856670001463,2.0686928774777456,0.0009928053835104552,0.0589296267744901,4.5986753007126735e-06,0.0069186917519398075,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,36,103043,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.6133627089984657,2.2856019313417195,0.0006152455334504472,0.058925122811757276,9.471256788573523e-08,0.0005128044646961835,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,36,103043,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,771,0.5209796659983112,2.2856019313417195,0.000992727316293106,0.05892963047007607,4.602370886681861e-06,0.006919085566579265,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,37,103044,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.5392278330000408,2.0443443311512848,0.0005843896098455779,0.05892512138302387,9.328383447637645e-08,0.0005122643574462623,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,37,103044,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.5518079590001435,2.0443443311512848,0.000999495636796852,0.058929683728826426,4.655629637036196e-06,0.0069615741304576715,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,38,103045,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.5262726670007396,2.1828013710856693,0.0006022990758032259,0.05892512226894611,9.416975672166261e-08,0.0005126048189581947,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,38,103045,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.656290082999476,2.1828013710856693,0.0009999554451313516,0.05892969000690552,4.661907716127511e-06,0.006961686471620233,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,39,103046,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.4878630000021076,2.2048620402333743,0.0006053186263498455,0.058925122590344096,9.449115470627767e-08,0.0005128457993433512,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,39,103046,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.5388736249988142,2.2048620402333743,0.000998848879755267,0.05892968000680459,4.651907615199624e-06,0.006959120575355256,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,40,103047,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.5150442920021305,2.1068224237150623,0.0005947950417730306,0.0589251224158849,9.431669550918897e-08,0.0005120952426978556,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,40,103047,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,771,0.6586087499999849,2.1068224237150623,0.0009921111291660391,0.05892961902921296,4.590930023570805e-06,0.006906720933184232,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
